"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 06:30:28 GMT 2023","Mon Nov 20 06:30:37 GMT 2023","8760","tests","send_message_test","TestSendMessage","","","Search users",""
"passed","Mon Nov 20 06:29:33 GMT 2023","Mon Nov 20 06:29:40 GMT 2023","6549","tests","create_room_in_meet_test","TestCreateRoomInMeet","","","Create room in meet",""
"passed","Mon Nov 20 06:30:02 GMT 2023","Mon Nov 20 06:30:05 GMT 2023","3321","tests","log_out_test","TestLogOut","","","Log Out",""
"passed","Mon Nov 20 06:29:29 GMT 2023","Mon Nov 20 06:29:32 GMT 2023","3249","tests","connect_with_id_not_auth_test","TestConnectToMeetingWithIDNotAuthUser","","","Connect to meeting with id and not auth user",""
"passed","Mon Nov 20 06:29:50 GMT 2023","Mon Nov 20 06:30:01 GMT 2023","10605","tests","kick_user_from_meet_test","TestKickUserFromMeet","","","Kick user from meet",""
"passed","Mon Nov 20 06:29:11 GMT 2023","Mon Nov 20 06:29:13 GMT 2023","1944","tests","authorization_with_invalid_data_test","TestInvalidAuthorization","","","Invalid authorization",""
"passed","Mon Nov 20 06:30:07 GMT 2023","Mon Nov 20 06:30:18 GMT 2023","11375","tests","riase_hand_test","TestCreateRoomInMeet","","","Raise hand at meet",""
"passed","Mon Nov 20 06:29:41 GMT 2023","Mon Nov 20 06:29:49 GMT 2023","7972","tests","delete_meet_test","TestDeleteMeetFeature","","","Delete schedule",""
"passed","Mon Nov 20 06:29:14 GMT 2023","Mon Nov 20 06:29:23 GMT 2023","9077","tests","cancel_meet_test","TestScheduleBlok","","","Blok schedule",""
"passed","Mon Nov 20 06:29:04 GMT 2023","Mon Nov 20 06:29:10 GMT 2023","6195","tests","add_users_in_schedule_test","TestAddUserInSchedule","","","Create schedule",""
"passed","Mon Nov 20 06:30:25 GMT 2023","Mon Nov 20 06:30:27 GMT 2023","2292","tests","search_for_registrate_users_test","TestSearchUsers","","","Search users",""
"passed","Mon Nov 20 06:29:24 GMT 2023","Mon Nov 20 06:29:28 GMT 2023","4346","tests","connect_with_id_and_auth_user_test","TestConnectToMeetingWithIDAuthUser","","","Connect to meeting with id and auth user",""
"passed","Mon Nov 20 06:30:19 GMT 2023","Mon Nov 20 06:30:24 GMT 2023","4615","tests","schedule_meet_test","TestScheduleFeature","","","Create schedule",""
"passed","Mon Nov 20 06:30:38 GMT 2023","Mon Nov 20 06:30:42 GMT 2023","4546","tests","start_new_meet_test","TestNewMeet","","","Start new meet",""
